,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,
Subject: Death and Life Expectancy,,,,,,,,,,,,,,,
"Topic: Deaths, Death Rates and Mortality",,,,,,,,,,,,,,,
"Table Title: Deaths By Ethnic Group And Sex, Monthly",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 09/11/2022,,,,,,,,,,,,,,,
Source: REGISTRY OF BIRTHS AND DEATHS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Number
Data Series,Total Deaths By Ethnic Group ,Total Deaths By Ethnic Group -> Malays ,Total Deaths By Ethnic Group -> Chinese ,Total Deaths By Ethnic Group -> Indians ,Total Deaths By Ethnic Group -> Other Ethnic Groups ,Total Male Deaths By Ethnic Group ,Total Male Deaths By Ethnic Group -> Malays ,Total Male Deaths By Ethnic Group -> Chinese ,Total Male Deaths By Ethnic Group -> Indians ,Total Male Deaths By Ethnic Group -> Other Ethnic Groups ,Total Female Deaths By Ethnic Group ,Total Female Deaths By Ethnic Group -> Malays ,Total Female Deaths By Ethnic Group -> Chinese ,Total Female Deaths By Ethnic Group -> Indians ,Total Female Deaths By Ethnic Group -> Other Ethnic Groups 
  1961 Apr,783,146,576,47,14,434,74,315,36,9,349,72,261,11,5
  1961 Mar,866,154,650,49,13,495,75,373,40,7,371,79,277,9,6
  1961 Feb,705,114,522,51,17,404,67,292,36,9,300,47,230,15,8
  1961 Jan,901,148,666,65,22,518,78,383,44,13,383,70,283,21,9
  1960 Dec,857,147,629,55,25,501,85,368,31,17,355,62,261,24,8
  1960 Nov,788,156,551,56,25,479,89,327,45,18,309,67,224,11,7
  1960 Oct,806,148,589,64,5,457,81,329,46,1,349,67,260,18,4
  1960 Sep,753,110,564,62,17,444,53,332,51,8,309,57,232,11,9
  1960 Aug,868,150,623,75,19,484,70,348,57,9,383,80,275,18,10
  1960 Jul,820,140,616,48,16,490,84,355,39,12,330,56,261,9,4
  1960 Jun,889,164,641,60,24,488,91,348,37,12,401,73,293,23,12
  1960 May,964,167,699,77,20,585,91,423,56,15,378,76,276,21,5
  1960 Apr,914,160,678,65,11,524,97,377,46,4,390,63,301,19,7
  1960 Mar,896,150,653,78,15,549,84,402,55,8,347,66,251,23,7
  1960 Feb,809,120,611,55,23,494,57,383,40,14,315,63,228,15,9
  1960 Jan,846,145,615,74,12,490,80,349,53,8,356,65,266,21,4
,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,
"Figures may not add up to the total due to sex or ethnic group not reported.  Figures are based on date of registration.  Prior to 1989, deaths of non-locally domiciled services personnel (including foreign based civilians employed by the services) and their families were excluded.  Figures for 2022 are provisional.",,,,,,,,,,,,,,,
Total Deaths By Ethnic Group (Number):,,,,,,,,,,,,,,,
Figures for males and females may not add up to the total on account of unknown sex.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,
Deaths:,,,,,,,,,,,,,,,
"All deaths occurring within Singapore and its territorial waters as registered under the Registration of Births and Deaths Act (Chapter 267), and are compiled based on date of registration.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,
Date generated: 15/12/2022,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,
